Car_Price,Car_name,Mileage,Car_year,Location,Creation_date,FuelType,Contect_method,Page
"EGP 1,250,000",سكودا فانتازيا 2011,No Mileage,2011,"Mahalla al-Kobra, Gharbia•",6 days ago,2011,Call,1
"EGP 2,950,000",Mercedes-Benz GLC 200 2020,No Mileage,2020,"New Cairo, Cairo•",4 days ago,2020,Call,1
"EGP 2,700,000",بي ام دبليو 520 2019 BMW -  520 i Sport Line  2019 38000 km,No Mileage,2019,"Madinaty, Cairo•",6 days ago,2019,Call,1
"EGP 675,000",فورد فوكس 2018,No Mileage,2018,"Nasr City, Cairo•",6 days ago,2018,Call,1
"EGP 1,150,000",جيب رانجلر 2013,No Mileage,2013,"Nasr City, Cairo•",1 day ago,2013,Chat,1
"EGP 2,700,000",BMW X3 2019,No Mileage,2019,"Smoha, Alexandria•",1 day ago,2019,Call,1
"EGP 5,500,000",Bentley Continental GT 2016,No Mileage,2016,"1st Settlement, New Cairo•",2 days ago,2016,Chat,1
"EGP 4,100,000",Porsche Macan 2022,No Mileage,2022,"5th Settlement, New Cairo•",4 days ago,2022,Call,1
"EGP 4,300,000",لاند روفر رنج روفر سبورت 2019 RANGE ROVER,No Mileage,2019,"New Cairo, Cairo•",6 hours ago,2019,Call,2
"EGP 3,500,000",مرسيدس بنز اي ٢٠٠ 2022 E200 e200 مرسيدس اي ٢٠٠,No Mileage,2022,"New Cairo, Cairo•",6 days ago,2022,Call,2
"EGP 2,550,000",سورينتو جرافيتي 6 مقاعد  2023 مستوردة من كوريا استلام فوري اعلي فئة,No Mileage,2023,"New Cairo, Cairo•",4 days ago,2023,Call,2
"EGP 1,080,000",كيا سيراتو 2018 كسر زيرو,No Mileage,2018,"Zagazig, Sharqia•",6 days ago,2018,Call,2
"EGP 1,990,000",Skoda Kodiaq 2021 كودياك ستايل ١٠٠٠٠ كم فقط,No Mileage,2021,"5th Settlement, New Cairo•",4 days ago,2021,Call,2
"EGP 530,000",Renault Sandero Stepway 2015,No Mileage,2015,"Nasr City, Cairo•",6 minutes ago,2015,Call,2
"EGP 4,450,000",مرسيدس بنز جى إل سى 200 2024,No Mileage,2024,"New Cairo, Cairo•",8 minutes ago,2024,Call,2
"EGP 1,450,000",فولفو Xc60 موديل 2019 فابريكة,No Mileage,2019,"Nasr City, Cairo•",13 minutes ago,2019,Call,2
"EGP 3,200,000",مرسيدس بنز سي 200 2024,No Mileage,2024,"Mohandessin, Giza•",15 minutes ago,2024,Call,2
"EGP 1,275,000",Kia Sportage 2022,No Mileage,2022,"New Cairo, Cairo•",18 minutes ago,2022,Call,2
"EGP 220,000",Speranza A113 2010,No Mileage,2010,"Mohandessin, Giza•",18 minutes ago,2010,Call,2
"EGP 360,000",هيونداي فيرنا 2012,No Mileage,2012,"Haram, Giza•",21 minutes ago,2012,Call,2
"EGP 630,000",Suzuki Swift 2022,No Mileage,2022,"Katameya, Cairo•",24 minutes ago,2022,Call,2
"EGP 1,100,000",Jeep Renegade 2022,No Mileage,2022,"1st Settlement, New Cairo•",24 minutes ago,2022,Call,2
"EGP 2,750,000",بي ام دبليو X6 M 2017,No Mileage,2017,"Nasr City, Cairo•",24 minutes ago,2017,Call,2
"EGP 620,000",شيرى أريزو 5 2025,No Mileage,2025,"Marg, Cairo•",27 minutes ago,2025,Call,2
"EGP 260,000",هيونداي فيرنا 2006,No Mileage,2006,"Mena City Central, Dokki•",29 minutes ago,2006,Chat,2
"EGP 340,000",Chery Envy 2015,No Mileage,2015,"15 May City, Cairo•",30 minutes ago,2015,Call,2
"EGP 540,000",Citroen C-Elysée 2021,No Mileage,2021,"Marsa Matrouh, Matruh•",29 minutes ago,2021,Call,2
"EGP 270,000",Chevrolet Cruze 2010,No Mileage,2010,"Mandara, Alexandria•",29 minutes ago,2010,Call,2
"EGP 2,850,000",Mercedes-Benz C200 2022 / مرسيدس بنز سي 200,No Mileage,2022,"5th Settlement, New Cairo•",28 minutes ago,2022,Chat,2
"EGP 320,000",Chery Tiggo 2010,No Mileage,2010,"Sidi Beshr, Alexandria•",36 minutes ago,2010,Call,2
"EGP 785,000",كيا كارينز 2015,No Mileage,2015,"Mohandessin, Giza•",36 minutes ago,2015,Call,2
"EGP 1,125,000",Kia Xceed 2022 high line 75k km,No Mileage,2022,"Sheikh Zayed, Giza•",36 minutes ago,2022,Call,2
"EGP 420,000",كيا بيكانتو 2012,No Mileage,2012,"Mohammed Naguib Axis, New Cairo•",36 minutes ago,2012,Call,2
"EGP 480,000",شيفروليه أفيو 2019,No Mileage,2019,"Zahraa Al Maadi, Cairo•",35 minutes ago,2019,Call,2
"EGP 310,000",Proton Gen-2 2008,No Mileage,2008,"New Damietta, Damietta•",38 minutes ago,2008,Call,2
"EGP 290,000",Kia Spectra 2002,No Mileage,2002,"Zagazig, Sharqia•",38 minutes ago,2002,Call,2
"EGP 2,950,000",لاند روفر ايفوك 2022 Se,No Mileage,2022,"Nasr City, Cairo•",39 minutes ago,2022,Call,2
"EGP 350,000",سوزوكي ألتو 2021,No Mileage,2021,"8th District, Nasr City•",37 minutes ago,2021,Call,2
"EGP 2,050,000",مرسيدس بنز سي 180 2019 94km,No Mileage,2019,"Sheikh Zayed, Giza•",39 minutes ago,2019,Call,2
"EGP 2,050,000",كسر زيرو بيجو 3008 اعلي فئة gt باكياس المصنع الشكل الجديد,No Mileage,2025,"Katameya, Cairo•",39 minutes ago,2025,Call,2
"EGP 2,590,000",Mercedes Benz C180 Avant garde 2022,No Mileage,2022,"Heliopolis, Cairo•",39 minutes ago,2022,Call,2
"EGP 1,075,000",Hyundai Elantra 2022 CN7 هيونداي النترا فئة رابعة فابريكا بالكامل,No Mileage,2022,"Nasr City, Cairo•",42 minutes ago,2022,Call,2
"EGP 1,250,000",بيجو 3008 فئة  Allure plus بحالة شاذة موديل ٢٠٢١,No Mileage,2021,"Katameya, Cairo•",43 minutes ago,2021,Call,2
"EGP 875,000",BMW X3 2007 facelift,No Mileage,2008,"Rehab City, New Cairo•",41 minutes ago,2008,Call,2
"EGP 2,700,000",Mercedes-Benz AMG E350e 2017,No Mileage,2017,"Sharq District, Port Said•",41 minutes ago,2017,Call,2
"EGP 3,000,000",BMW 320i Luxury Line | Model 2026,No Mileage,2026,"Heliopolis, Cairo•",45 minutes ago,2026,Call,2
"EGP 690,000",سوزوكي سويفت 2023,No Mileage,2023,"New Cairo, Cairo•",44 minutes ago,2023,Call,2
"EGP 350,000",جيلى امجراند 7 2016,No Mileage,2016,"Obour City, Cairo•",46 minutes ago,2016,Chat,2
"EGP 1,350,000",BMW 318 Luxury line 2019,No Mileage,2019,"Heliopolis, Cairo•",47 minutes ago,2019,Call,2
"EGP 1,025,000",Toyota Corolla 2020,No Mileage,2020,"Roushdy, Alexandria•",46 minutes ago,2020,Call,2
"EGP 650,000",Nissan Sunny 2025,No Mileage,2025,"Dokki, Giza•",49 minutes ago,2025,Chat,2
"EGP 365,000",رينو لوجان 2011 بحالة ممتازة,No Mileage,2011,"Sidi Beshr, Alexandria•",48 minutes ago,2011,Chat,2
"EGP 1,275,000",كيا سبورتاج 2021,No Mileage,2021,"Nasr City, Cairo•",49 minutes ago,2021,Call,2
"EGP 2,550,000",سورينتو جرافيتي 6 مقاعد  2023 مستوردة من كوريا استلام فوري اعلي فئة,No Mileage,2023,"New Cairo, Cairo•",4 days ago,2023,Call,3
"EGP 357,000",هيونداي أى 10 2010,No Mileage,2010,"Nasr City, Cairo•",3 days ago,2010,Call,3
"EGP 2,550,000",Mercedes-Benz SLC-Class 180  2017,No Mileage,2017,"Al Motamayez District, 6th of October•",4 days ago,2017,Call,3
"EGP 3,050,000",BMW 320i Luxury 2026,No Mileage,2026,"5th Settlement, New Cairo•",49 minutes ago,2026,Call,3
"EGP 2,250,000",مرسيدس بنز سي إل إيه 200 2021,No Mileage,2021,"Arkan Plaza, Sheikh Zayed•",2 days ago,2021,Call,3
"EGP 1,275,000",كيا سبورتاج 2021,No Mileage,2021,"Nasr City, Cairo•",49 minutes ago,2021,Call,3
"EGP 650,000",Ford Kuga 2015,No Mileage,2015,"Nasr City, Cairo•",50 minutes ago,2015,Call,3
"EGP 2,700,000",ميني كوبر 2025 john Cooper Works,No Mileage,2025,"Nasr City, Cairo•",50 minutes ago,2025,Call,3
"EGP 640,000",هيونداي إلينترا 2015,No Mileage,2015,"Nasr City, Cairo•",50 minutes ago,2015,Call,3
"EGP 2,450,000",بحالة شاذة جدا BMW X3 - 2000cc الشكل الجديد ٢٠٢٠,No Mileage,2020,"Katameya, Cairo•",52 minutes ago,2020,Call,3
"EGP 650,000",Opel Astra 2017,No Mileage,2017,"5th Settlement, New Cairo•",52 minutes ago,2017,Call,3
"EGP 800,000",رينو كادجار 2019,No Mileage,2019,"Heliopolis, Cairo•",53 minutes ago,2019,Chat,3
"EGP 650,000",Seat Leon 2012 -سيات ليون فابريكا,No Mileage,2012,"Hadayek al-Ahram, Giza•",52 minutes ago,2012,Call,3
"EGP 1,170,000",Seat Leon 2021,No Mileage,2021,"New Cairo, Cairo•",54 minutes ago,2021,Call,3
"EGP 520,000",دايهاتسو تريوس تاتي فئة ايرباج وجنوط اول يد Daihatsu Terios 2013,No Mileage,2013,"New Cairo, Cairo•",52 minutes ago,2013,Call,3
"EGP 2,700,000",Mercedes-Benz GLC 200 2020,No Mileage,2020,"New Cairo, Cairo•",53 minutes ago,2020,Call,3
"EGP 850,000",Jeep Cherokee 2010,No Mileage,2010,"5th Settlement, New Cairo•",55 minutes ago,2010,Call,3
"EGP 475,000",هيونداي فيرنا 2017 اوتوماتيك,No Mileage,2017,"Heliopolis, Cairo•",55 minutes ago,2017,Call,3
"EGP 1,900,000",أودي كيو 5 إي ترون 2022 edition one,No Mileage,2022,"Nasr City, Cairo•",57 minutes ago,2022,Call,3
"EGP 300,000",Brilliance FSV 2011,No Mileage,2011,"Heliopolis, Cairo•",57 minutes ago,2011,Call,3
"EGP 4,550,000",BMW X5 2020,No Mileage,2020,"1st Settlement, New Cairo•",58 minutes ago,2020,Call,3
"EGP 1,400,000",بي ام دبليوBMW 118i sportفبريكة بالكامل2021أعلى فئة اول يد صيانة توكيل,No Mileage,2021,"New Cairo, Cairo•",59 minutes ago,2021,Call,3
"EGP 600,000",هوندا سيتى 2016,No Mileage,2016,"Madinaty, Cairo•",59 minutes ago,2016,Call,3
"EGP 1,950,000",Skoda Kodiaq 2021,No Mileage,2021,"Madinaty, Cairo•",1 hour ago,2021,Call,3
"EGP 950,000",Hyundai Ioniq 2017,No Mileage,2017,"New Cairo, Cairo•",1 hour ago,2017,Call,3
"EGP 3,000,000",BMW 320i Luxury Line | Model 2026,No Mileage,2026,"Heliopolis, Cairo•",1 hour ago,2026,Call,3
"EGP 485,000",شيفروليه اوبترا 2009 كاملة اوتوماتيك,No Mileage,2009,"5th Settlement, New Cairo•",1 hour ago,2009,Call,3
"EGP 350,000",Chevrolet Lanos 2016,No Mileage,2016,"Miami, Alexandria•",1 hour ago,2016,Call,3
"EGP 285,000",Opel Vectra 2001,No Mileage,2001,"Tookh, Qalyubia•",1 hour ago,2001,Call,3
"EGP 950,000",Chrysler Town and Country 2009,No Mileage,2009,"5th Settlement, New Cairo•",1 hour ago,2009,Call,3
"EGP 1,380,000",Mercedes-Benz CLA 180 2015 فابريكة و عداد قليل و لون مميز,No Mileage,2015,"Maadi, Cairo•",1 hour ago,2015,Call,3
"EGP 3,050,000",مرسيدس بنز سي 180 2023 AMG,No Mileage,2023,"Nasr City, Cairo•",1 hour ago,2023,Call,3
"EGP 1,250,000",Peugeot 3008 2021,No Mileage,2021,"Rehab City, New Cairo•",1 hour ago,2021,Call,3
"EGP 215,000",عربية اسبيرانزا A620 للبيع,No Mileage,2007,"Abasiya, Cairo•",1 hour ago,2007,Call,3
"EGP 1,590,000",هيونداي توسان | موديل 2024,No Mileage,2024,"Heliopolis, Cairo•",1 hour ago,2024,Call,3
"EGP 1,300,000",BMW 118 2020,No Mileage,2020,"Zahraa Al Maadi, Cairo•",1 hour ago,2020,Call,3
"EGP 2,180,000",Mercedes-Benz CLA 200 2020,No Mileage,2020,"Beverly Hills Compound, Sheikh Zayed•",1 hour ago,2020,Call,3
"EGP 1,500,000","Skoda a8 Style Plus , 2022 , Black Exterior , elegant Black Interior",No Mileage,2022,"Sheikh Zayed, Giza•",1 hour ago,2022,Call,3
"EGP 220,000",هايما فاميلى 2008,No Mileage,2008,"Damietta City, Damietta•",1 hour ago,2008,Call,3
"EGP 350,000",بيجو 407 2007,No Mileage,2007,"Aljar, Sheraton•",1 hour ago,2007,Call,3
"EGP 1,390,000",BMW 320 2016,No Mileage,2016,"Gladios Garden Compound, 6th of October•",1 hour ago,2016,Call,3
"EGP 4,350,000",Mercedes-Benz E200 2024,No Mileage,2024,"Gladios Garden Compound, 6th of October•",1 hour ago,2024,Call,3
"EGP 1,390,000",BMW 740 2011,No Mileage,2011,"Gladios Garden Compound, 6th of October•",1 hour ago,2011,Call,3
"EGP 970,000",١٦٠٠ الرياضية 2022 مواصفات خليجي كالجديدة,No Mileage,2022,"Zamalek, Cairo•",1 hour ago,2022,Call,3
"EGP 420,000",بي ام دبليو 318 2005,No Mileage,2005,"Mansuriyya, Giza•",1 hour ago,2005,Call,3
"EGP 4,100,000",Mercedes-Benz GLC 300 2023 AMG Fullyloaded Night package,No Mileage,2023,"5th Settlement, New Cairo•",4 days ago,2023,Call,4
"EGP 2,950,000",BMW X1 2025 - M Sport Wakil,No Mileage,2025,"New Cairo, Cairo•",4 days ago,2025,Call,4
"EGP 3,050,000",BMW 320i Luxury 2026,No Mileage,2026,"5th Settlement, New Cairo•",49 minutes ago,2026,Call,4
"EGP 407,000",نيسان صني 2010,No Mileage,2010,"Nasr City, Cairo•",3 days ago,2010,Call,4
"EGP 2,850,000",MINI Cooper s 2025,No Mileage,2025,"5th Settlement, New Cairo•",1 week ago,2025,Call,4
"EGP 970,000",١٦٠٠ الرياضية 2022 مواصفات خليجي كالجديدة,No Mileage,2022,"Zamalek, Cairo•",1 hour ago,2022,Call,4
"EGP 420,000",بي ام دبليو 318 2005,No Mileage,2005,"Mansuriyya, Giza•",1 hour ago,2005,Call,4
"EGP 925,000",سيتروين سى 4 جراند بيكاسو 2020,No Mileage,2020,"Heliopolis, Cairo•",1 hour ago,2020,Call,4
"EGP 400,000",Skoda Octavia 2002 اسكودا اوكتافيا كومبي  موديل ٢٠٠٢,No Mileage,2002,"Heliopolis, Cairo•",1 hour ago,2002,Call,4
"EGP 2,490,000",Avatr 11 Dual Motor | Model 2023Gt 578 hp,No Mileage,2023,"Heliopolis, Cairo•",1 hour ago,2023,Call,4
"EGP 755,000",ميتسوبيشي لانسر 2018,No Mileage,2018,"Shebin al-Koum, Monufia•",1 hour ago,2018,Chat,4
"EGP 335,000",جيلى امجراند 7 2013,No Mileage,2013,"New Nozha, Cairo•",1 hour ago,2013,Call,4
"EGP 890,000",أوبل كروس لاند | موديل 2022,No Mileage,2022,"Heliopolis, Cairo•",1 hour ago,2022,Call,4
"EGP 450,000",Renault Fluence 2015,No Mileage,2015,"New Cairo, Cairo•",1 hour ago,2015,Call,4
"EGP 2,300,000",BMW X3 xDrive30i | Model 2019,No Mileage,2019,"Heliopolis, Cairo•",1 hour ago,2019,Call,4
"EGP 280,000",رينو لوجان 2016,No Mileage,2016,"Ard El Lewa, Giza•",1 hour ago,2016,Call,4
"EGP 430,000",Renault Sandero Stepway 2016,No Mileage,2016,"Sarayat El Maadi, Maadi•",1 hour ago,2016,Call,4
"EGP 2,250,000",مرسيدس بنز سي 200 2019,No Mileage,2019,"Nasr City, Cairo•",1 hour ago,2019,Call,4
"EGP 3,770,000",BMW X5 Xdrive40i Model 2021,No Mileage,2021,"Heliopolis, Cairo•",1 hour ago,2021,Call,4
"EGP 1,990,000",مرسيدس بنز إي 180 2016,No Mileage,2016,"Heliopolis, Cairo•",1 hour ago,2016,Call,4
"EGP 210,000",دايهاتسو سيريون 2000,No Mileage,2000,"Attaka, Suez•",1 hour ago,2000,Call,4
"EGP 650,000",فيات تيبو 2021,No Mileage,2021,"Al Manial, Cairo•",1 hour ago,2021,Call,4
"EGP 520,000",شيفروليه اوبترا 2019,No Mileage,2019,"Gardenia Compound, Nasr City•",1 hour ago,2019,Call,4
"EGP 425,000",رينو لوجان 2017 اتوماتيك حالة ممتازة,No Mileage,2017,"Sheikh Zayed, Giza•",1 hour ago,2017,Call,4
"EGP 650,000",جيب ليبرتى 2007,No Mileage,2007,"Heliopolis, Cairo•",1 hour ago,2007,Call,4
"EGP 1,530,000",فولكسفاغن باسات 2021,No Mileage,2021,"Nasr City, Cairo•",1 hour ago,2021,Call,4
"EGP 2,650,000",مرسيدس GLA 200 | موديل 2022,No Mileage,2022,"Heliopolis, Cairo•",1 hour ago,2022,Call,4
"EGP 590,000",كيا بيكانتو 2016,No Mileage,2016,"Nasr City, Cairo•",1 hour ago,2016,Call,4
"EGP 630,000",جيلى إمجراند إكس 7 2018,No Mileage,2018,"Nasr City, Cairo•",1 hour ago,2018,Call,4
"EGP 490,000",نيسان صني 2016,No Mileage,2016,"Sheraton, Cairo•",1 hour ago,2016,Call,4
"EGP 1,260,000",هيونداي توسان 2019,No Mileage,2019,"Nasr City, Cairo•",1 hour ago,2019,Call,4
"EGP 2,800,000",Mercedes E350 AMG Fully Loaded Model 2019,No Mileage,2019,"Heliopolis, Cairo•",1 hour ago,2019,Call,4
"EGP 550,000",Renault Fluence 2015,No Mileage,2015,"1st Settlement, New Cairo•",1 hour ago,2015,Call,4
"EGP 2,250,000",Mercedes-Benz C 180 Avantgarde Plus 2020,No Mileage,2020,"Heliopolis, Cairo•",2 hours ago,2020,Call,4
"EGP 3,150,000",جيب جراند شيروكى 2021,No Mileage,2021,"Heliopolis, Cairo•",2 hours ago,2021,Call,4
"EGP 340,000",رينو لوجان 2015,No Mileage,2015,"Al Amiriyyah, Cairo•",2 hours ago,2015,Call,4
"EGP 450,000",تويوتا ياريس 2008,No Mileage,2008,"Rehab City, New Cairo•",2 hours ago,2008,Call,4
"EGP 1,240,000",ام جى وان 2025,No Mileage,2025,"Nasr City, Cairo•",2 hours ago,2025,Call,4
"EGP 3,150,000",Mercedes-Benz GLC 200 2020,No Mileage,2020,"5th Settlement, New Cairo•",2 hours ago,2020,Call,4
"EGP 245,000",شيفروليه سبارك 2010 يمكن دفع 80000والباقي5سنوات,No Mileage,2010,"Damietta City, Damietta•",2 hours ago,2010,Call,4
"EGP 540,000",Chery Tiggo 3 2018,No Mileage,2018,"Corniche El Maadi, Maadi•",2 hours ago,2018,Call,4
"EGP 440,000",شيفروليه أفيو 2015 فبريكا,No Mileage,2015,"Kafr al-Dawwar, Beheira•",2 hours ago,2015,Call,4
"EGP 640,000",Nissan Sunny 2023 كسر زيرو عداد 29 الف فبريكا بالكامل,No Mileage,2023,"Rehab City, New Cairo•",2 hours ago,2023,Call,4
"EGP 3,500,000",Mercedes-Benz E350 2018,No Mileage,2018,"3rd Settlement, New Cairo•",2 hours ago,2018,Call,4
"EGP 630,000",Mitsubishi Lancer 2016,No Mileage,2016,"Smoha, Alexandria•",2 hours ago,2016,Call,4
"EGP 2,675,000",Mercedes-Benz C180 2023 مرسيدس سي ١٨٠ افنجارد,No Mileage,2023,"New Cairo, Cairo•",6 days ago,2023,Call,5
"EGP 3,050,000",BMW 320i Luxury 2026,No Mileage,2026,"5th Settlement, New Cairo•",49 minutes ago,2026,Call,5
"EGP 840,000",مرسيدس بنز B180 موديل ٢٠١٤ حالة مميزه وبيتى جدا جدا بفضل الله تعالى.,No Mileage,2014,"Laurent, Alexandria•",6 days ago,2014,Call,5
"EGP 290,000",هيونداي أى 10 2008,No Mileage,2008,"Heliopolis, Cairo•",1 day ago,2008,Call,5
"EGP 2,750,000",مرسيدس بنز سي 180 2023,No Mileage,2023,"Heliopolis, Cairo•",1 week ago,2023,Call,5
"EGP 720,000",Toyota Yaris 2018,No Mileage,2018,"1st Settlement, New Cairo•",2 hours ago,2018,Call,5
"EGP 260,000",سوزوكي نقل 2016,No Mileage,2016,"Marg, Cairo•",2 hours ago,2016,Call,5
"EGP 185,000",سوزوكي ماروتى 2014,No Mileage,2014,"Al Hadaba Al Olya, Mokattam•",2 hours ago,2014,Call,5
"EGP 1,150,000",BMW 316 2015 luxury الماني,No Mileage,2015,"Palm hills golf extension Compound, 6th of October•",2 hours ago,2015,Call,5
"EGP 250,000",Speranza Envy 2015,No Mileage,2015,"Sporting, Alexandria•",2 hours ago,2015,Call,5
"EGP 165,000",فيات شاهين 2007,No Mileage,2007,"Sharabeya, Cairo•",2 hours ago,2007,Call,5
"EGP 670,000",Toyota Yaris 2016,No Mileage,2016,"5th Settlement, New Cairo•",2 hours ago,2016,Chat,5
"EGP 1,430,000",هيونداي افانتي 2024,No Mileage,2024,"Shorouk City, Cairo•",2 hours ago,2024,Call,5
"EGP 500,000",Kia Cerato 2010,No Mileage,2010,"Madinaty, Cairo•",2 hours ago,2010,Chat,5
"EGP 695,000",Renault Megane 2022,No Mileage,2022,"New Cairo, Cairo•",2 hours ago,2022,Call,5
"EGP 820,000",Opel Insignia 2017,No Mileage,2017,"Nasr City, Cairo•",2 hours ago,2017,Call,5
"EGP 480,000",Daihatsu Terios 2010,No Mileage,2010,"Zahraa Al Maadi, Cairo•",2 hours ago,2010,Call,5
"EGP 770,000",ام جى ام جى 6 2021 اعلي فئه لاكشري فابريكا بالكامل,No Mileage,2021,"Obour City, Cairo•",2 hours ago,2021,Call,5
"EGP 640,000",أوبل انسيجنيا 2014,No Mileage,2014,"Heliopolis, Cairo•",2 hours ago,2014,Call,5
"EGP 1,830,000",هوندا أكورد  2022 Honda Accord,No Mileage,2022,"Heliopolis, Cairo•",2 hours ago,2022,Call,5
"EGP 720,000",هيونداي إلينترا 2019,No Mileage,2019,"Smoha, Alexandria•",2 hours ago,2019,Call,5
"EGP 1,420,000",MG 7 2025 Luxury,No Mileage,2025,"New Cairo, Cairo•",2 hours ago,2025,Call,5
"EGP 3,100,000",Mercedes-Benz C180 2023,No Mileage,2023,"New Cairo, Cairo•",2 hours ago,2023,Call,5
"EGP 820,000",Chery Tiggo 7 2023,No Mileage,2023,"Nasr City, Cairo•",2 hours ago,2023,Call,5
"EGP 495,000",رينو سانديرو ستيب واي,No Mileage,2016,"Smoha, Alexandria•",2 hours ago,2016,Chat,5
"EGP 240,000",شيفروليه سبارك 2008,No Mileage,2008,"Gardenia Compound, Nasr City•",2 hours ago,2008,Call,5
"EGP 295,000",Hyundai Getz 2008,No Mileage,2008,"Shorouk City, Cairo•",2 hours ago,2008,Call,5
"EGP 700,000",هيونداي إلنترا كوبيه 2013 Hyundai Elantra Coupe,No Mileage,2013,"Sheikh Zayed, Giza•",2 hours ago,2013,Call,5
"EGP 870,000",MG HS 2021,No Mileage,2021,"New Cairo, Cairo•",2 hours ago,2021,Call,5
